Futures		Contract		Contract		Futures		Options		Options
Code		Month		Type		Exp Date		Code		Exp Date
-------		-------		-------		-------		-------		-------		
CL		2021-10		Fut		2021-09-21		 		 
CL		2021-11		Fut		2021-10-20		 		 
CL		2021-12		Fut		2021-11-19		 		 
CL		2022-01		Fut		2021-12-20		 		 
CL		2022-02		Fut		2022-01-20		 		 
CL		2022-03		Fut		2022-02-22		 		 
CL		2022-04		Fut		2022-03-22		 		 
CL		2022-05		Fut		2022-04-20		 		 
CL		2022-06		Fut		2022-05-20		 		 
CL		2022-07		Fut		2022-06-21		 		 
CL		2022-08		Fut		2022-07-20		 		 
CL		2022-09		Fut		2022-08-22		 		 
CL		2022-10		Fut		2022-09-20		 		 
CL		2022-11		Fut		2022-10-20		 		 
CL		2022-12		Fut		2022-11-21		 		 
CL		2023-01		Fut		2022-12-20		 		 
CL		2023-02		Fut		2023-01-20		 		 
CL		2023-03		Fut		2023-02-21		 		 
CL		2023-04		Fut		2023-03-21		 		 
CL		2023-05		Fut		2023-04-20		 		 
CL		2023-06		Fut		2023-05-22		 		 
CL		2023-07		Fut		2023-06-20		 		 
CL		2023-08		Fut		2023-07-20		 		 
CL		2023-09		Fut		2023-08-22		 		 
CL		2023-10		Fut		2023-09-20		 		 
CL		2023-11		Fut		2023-10-20		 		 
CL		2023-12		Fut		2023-11-20		 		 
CL		2021-10		Opt		 		LO		2021-09-16
CL		2021-11		Opt		 		LO		2021-10-15
CL		2021-12		Opt		 		LO		2021-11-16
CL		2022-01		Opt		 		LO		2021-12-15
CL		2022-02		Opt		 		LO		2022-01-14
CL		2022-03		Opt		 		LO		2022-02-16
CL		2022-04		Opt		 		LO		2022-03-17
CL		2022-05		Opt		 		LO		2022-04-14
CL		2022-06		Opt		 		LO		2022-05-17
CL		2022-07		Opt		 		LO		2022-06-16
CL		2022-08		Opt		 		LO		2022-07-15
CL		2022-09		Opt		 		LO		2022-08-17
CL		2022-10		Opt		 		LO		2022-09-15
CL		2022-11		Opt		 		LO		2022-10-17
CL		2022-12		Opt		 		LO		2022-11-16
CL		2023-01		Opt		 		LO		2022-12-15
CL		2023-02		Opt		 		LO		2023-01-17
CL		2023-03		Opt		 		LO		2023-02-15
CL		2023-04		Opt		 		LO		2023-03-16
CL		2023-05		Opt		 		LO		2023-04-17
CL		2023-06		Opt		 		LO		2023-05-17
CL		2023-07		Opt		 		LO		2023-06-15
CL		2023-08		Opt		 		LO		2023-07-17
CL		2023-09		Opt		 		LO		2023-08-17
CL		2023-12		Opt		 		LO		2023-11-15

Futures		Contract		Contract		Strike		Settlement
Code		Month		Type		Price		Price
-------		-------		-------		-------		-------		
CL		2021-10		Fut		 		69.29
CL		2021-11		Fut		 		69.07
CL		2021-12		Fut		 		68.79
CL		2022-01		Fut		 		68.46
CL		2022-02		Fut		 		68.11
CL		2022-03		Fut		 		67.75
CL		2022-04		Fut		 		67.38
CL		2022-05		Fut		 		66.99
CL		2022-06		Fut		 		66.58
CL		2022-07		Fut		 		66.16
CL		2022-08		Fut		 		65.73
CL		2022-09		Fut		 		65.32
CL		2022-10		Fut		 		64.92
CL		2022-11		Fut		 		64.54
CL		2022-12		Fut		 		64.17
CL		2023-01		Fut		 		63.74
CL		2023-02		Fut		 		63.32
CL		2023-03		Fut		 		62.93
CL		2023-04		Fut		 		62.55
CL		2023-05		Fut		 		62.18
CL		2023-06		Fut		 		61.82
CL		2023-07		Fut		 		61.43
CL		2023-08		Fut		 		61.07
CL		2023-09		Fut		 		60.73
CL		2023-10		Fut		 		60.40
CL		2023-11		Fut		 		60.09
CL		2023-12		Fut		 		59.81
CL		2021-10		Call		0.50		68.60
CL		2021-10		Put		0.50		0.01
CL		2021-10		Call		1.00		68.10
CL		2021-10		Put		1.00		0.01
CL		2021-10		Call		1.50		67.60
CL		2021-10		Put		1.50		0.01
CL		2021-10		Call		2.00		67.10
CL		2021-10		Put		2.00		0.01
CL		2021-10		Call		2.50		66.60
CL		2021-10		Put		2.50		0.01
CL		2021-10		Call		3.00		66.10
CL		2021-10		Put		3.00		0.01
CL		2021-10		Call		3.50		65.60
CL		2021-10		Put		3.50		0.01
CL		2021-10		Call		4.00		65.10
CL		2021-10		Put		4.00		0.01
CL		2021-10		Call		4.50		64.60
CL		2021-10		Put		4.50		0.01
CL		2021-10		Call		5.00		64.10
CL		2021-10		Put		5.00		0.01
CL		2021-10		Call		5.50		63.60
CL		2021-10		Put		5.50		0.01
CL		2021-10		Call		6.00		63.10
CL		2021-10		Put		6.00		0.01
CL		2021-10		Call		6.50		62.60
CL		2021-10		Put		6.50		0.01
CL		2021-10		Call		7.00		62.10
CL		2021-10		Put		7.00		0.01
CL		2021-10		Call		7.50		61.60
CL		2021-10		Put		7.50		0.01
CL		2021-10		Call		8.00		61.10
CL		2021-10		Put		8.00		0.01
CL		2021-10		Call		8.50		60.60
CL		2021-10		Put		8.50		0.01
CL		2021-10		Call		9.00		60.10
CL		2021-10		Put		9.00		0.01
CL		2021-10		Call		9.50		59.60
CL		2021-10		Put		9.50		0.01
CL		2021-10		Call		10.00		59.10
CL		2021-10		Put		10.00		0.01
CL		2021-10		Call		10.50		58.79
