Futures Code	Contract Month	Contract Type	Futures Exp Date	Options Code	Options Exp Date
CL	2021-10	Fut	2021-09-21		
CL	2021-11	Fut	2021-10-20		
CL	2021-12	Fut	2021-11-19		
CL	2022-01	Fut	2021-12-20		
CL	2022-02	Fut	2022-01-20		
CL	2022-03	Fut	2022-02-22		
CL	2022-04	Fut	2022-03-22		
CL	2022-05	Fut	2022-04-20		
CL	2022-06	Fut	2022-05-20		
CL	2022-07	Fut	2022-06-21		
CL	2022-08	Fut	2022-07-20		
CL	2022-09	Fut	2022-08-22		
CL	2022-10	Fut	2022-09-20		
CL	2022-11	Fut	2022-10-20		
CL	2022-12	Fut	2022-11-21		
CL	2023-01	Fut	2022-12-20		
CL	2023-02	Fut	2023-01-20		
CL	2023-03	Fut	2023-02-21		
CL	2023-04	Fut	2023-03-21		
CL	2023-05	Fut	2023-04-20		
CL	2023-06	Fut	2023-05-22		
CL	2023-07	Fut	2023-06-20		
CL	2023-08	Fut	2023-07-20		
CL	2023-09	Fut	2023-08-22		
CL	2023-10	Fut	2023-09-20		
CL	2023-11	Fut	2023-10-20		
CL	2023-12	Fut	2023-11-20		
CL	2021-10	Opt		LO	2021-09-16
CL	2021-11	Opt		LO	2021-10-15
CL	2021-12	Opt		LO	2021-11-16
CL	2022-01	Opt		LO	2021-12-15
CL	2022-02	Opt		LO	2022-01-14
CL	2022-03	Opt		LO	2022-02-16
CL	2022-04	Opt		LO	2022-03-17
CL	2022-05	Opt		LO	2022-04-14
CL	2022-06	Opt		LO	2022-05-17
CL	2022-07	Opt		LO	2022-06-16
CL	2022-08	Opt		LO	2022-07-15
CL	2022-09	Opt		LO	2022-08-17
CL	2022-10	Opt		LO	2022-09-15
CL	2022-11	Opt		LO	2022-10-17
CL	2022-12	Opt		LO	2022-11-16
CL	2023-01	Opt		LO	2022-12-15
CL	2023-02	Opt		LO	2023-01-17
CL	2023-03	Opt		LO	2023-02-15
CL	2023-04	Opt		LO	2023-03-16
CL	2023-05	Opt		LO	2023-04-17
CL	2023-06	Opt		LO	2023-05-17
CL	2023-07	Opt		LO	2023-06-15
CL	2023-08	Opt		LO	2023-07-17
CL	2023-09	Opt		LO	2023-08-17
CL	2023-12	Opt		LO	2023-11-15
Futures Code	Contract Month	Contract Type	Strike Price	Settlement Price
CL	2021-10	Fut		69.29
CL	2021-11	Fut		69.07
CL	2021-12	Fut		68.79
CL	2022-01	Fut		68.46
CL	2022-02	Fut		68.11
CL	2022-03	Fut		67.75
CL	2022-04	Fut		67.38
CL	2022-05	Fut		66.99
CL	2022-06	Fut		66.58
CL	2022-07	Fut		66.16
CL	2022-08	Fut		65.73
CL	2022-09	Fut		65.32
CL	2022-10	Fut		64.92
CL	2022-11	Fut		64.54
CL	2022-12	Fut		64.17
CL	2023-01	Fut		63.74
CL	2023-02	Fut		63.32
CL	2023-03	Fut		62.93
CL	2023-04	Fut		62.55
CL	2023-05	Fut		62.18
CL	2023-06	Fut		61.82
CL	2023-07	Fut		61.43
CL	2023-08	Fut		61.07
CL	2023-09	Fut		60.73
CL	2023-10	Fut		60.4
CL	2023-11	Fut		60.09
CL	2023-12	Fut		59.81
CL	2021-10	Call	0.5	68.6
CL	2021-10	Put	0.5	0.01
CL	2021-10	Call	1.0	68.1
CL	2021-10	Put	1.0	0.01
CL	2021-10	Call	1.5	67.6
CL	2021-10	Put	1.5	0.01
CL	2021-10	Call	2.0	67.1
CL	2021-10	Put	2.0	0.01
CL	2021-10	Call	2.5	66.6
CL	2021-10	Put	2.5	0.01
CL	2021-10	Call	3.0	66.1
CL	2021-10	Put	3.0	0.01
CL	2021-10	Call	3.5	65.6
CL	2021-10	Put	3.5	0.01
CL	2021-10	Call	4.0	65.1
CL	2021-10	Put	4.0	0.01
CL	2021-10	Call	4.5	64.6
CL	2021-10	Put	4.5	0.01
CL	2021-10	Call	5.0	64.1
CL	2021-10	Put	5.0	0.01
CL	2021-10	Call	5.5	63.6
CL	2021-10	Put	5.5	0.01
CL	2021-10	Call	6.0	63.1
CL	2021-10	Put	6.0	0.01
CL	2021-10	Call	6.5	62.6
CL	2021-10	Put	6.5	0.01
CL	2021-10	Call	7.0	62.1
CL	2021-10	Put	7.0	0.01
CL	2021-10	Call	7.5	61.6
CL	2021-10	Put	7.5	0.01
CL	2021-10	Call	8.0	61.1
CL	2021-10	Put	8.0	0.01
CL	2021-10	Call	8.5	60.6
CL	2021-10	Put	8.5	0.01
CL	2021-10	Call	9.0	60.1
CL	2021-10	Put	9.0	0.01
CL	2021-10	Call	9.5	59.6
CL	2021-10	Put	9.5	0.01
CL	2021-10	Call	10.0	59.1
CL	2021-10	Put	10.0	0.01
CL	2021-10	Call	10.5	58.79
CL	2021-10	Put	10.5	0.01
CL	2021-10	Call	11.0	58.1
CL	2021-10	Put	11.0	0.01
CL	2021-10	Call	11.5	57.6
CL	2021-10	Put	11.5	0.01
CL	2021-10	Call	12.0	57.29
CL	2021-10	Put	12.0	0.01
CL	2021-10	Call	12.5	56.6
CL	2021-10	Put	12.5	0.01
CL	2021-10	Call	13.0	56.1
CL	2021-10	Put	13.0	0.01
CL	2021-10	Call	13.5	55.6
CL	2021-10	Put	13.5	0.01
CL	2021-10	Call	14.0	55.1
CL	2021-10	Put	14.0	0.01
CL	2021-10	Call	14.5	54.6
CL	2021-10	Put	14.5	0.01
CL	2021-10	Call	15.0	54.1
CL	2021-10	Put	15.0	0.01
CL	2021-10	Call	15.5	53.6
CL	2021-10	Put	15.5	0.01
CL	2021-10	Call	16.0	53.29
CL	2021-10	Put	16.0	0.01
CL	2021-10	Call	16.5	52.6
CL	2021-10	Put	16.5	0.01
CL	2021-10	Call	17.0	52.1
CL	2021-10	Put	17.0	0.01
CL	2021-10	Call	17.5	51.6
CL	2021-10	Put	17.5	0.01
CL	2021-10	Call	18.0	51.1
CL	2021-10	Put	18.0	0.01
CL	2021-10	Call	18.5	50.6
CL	2021-10	Put	18.5	0.01
CL	2021-10	Call	19.0	50.1
CL	2021-10	Put	19.0	0.01
CL	2021-10	Call	19.5	49.6
CL	2021-10	Put	19.5	0.01
CL	2021-10	Call	20.0	49.1
CL	2021-10	Put	20.0	0.01
CL	2021-10	Call	20.5	48.6
CL	2021-10	Put	20.5	0.01
CL	2021-10	Call	21.0	48.1
CL	2021-10	Put	21.0	0.01
CL	2021-10	Call	21.5	47.6
CL	2021-10	Put	21.5	0.01
CL	2021-10	Call	22.0	47.1
CL	2021-10	Put	22.0	0.01
CL	2021-10	Call	22.5	46.6
CL	2021-10	Put	22.5	0.01
CL	2021-10	Call	23.0	46.1
CL	2021-10	Put	23.0	0.01
CL	2021-10	Call	23.5	45.6
CL	2021-10	Put	23.5	0.01
CL	2021-10	Call	24.0	45.29
CL	2021-10	Put	24.0	0.01
CL	2021-10	Call	24.5	44.6
CL	2021-10	Put	24.5	0.01
CL	2021-10	Call	25.0	44.1
CL	2021-10	Put	25.0	0.01
CL	2021-10	Call	25.5	43.79
CL	2021-10	Put	25.5	0.01
CL	2021-10	Call	26.0	43.1
CL	2021-10	Put	26.0	0.01
CL	2021-10	Call	26.5	42.6
CL	2021-10	Put	26.5	0.01
CL	2021-10	Call	27.0	42.1
CL	2021-10	Put	27.0	0.01
CL	2021-10	Call	27.5	41.6
CL	2021-10	Put	27.5	0.01
CL	2021-10	Call	28.0	41.1
CL	2021-10	Put	28.0	0.01
CL	2021-10	Call	28.5	40.6
CL	2021-10	Put	28.5	0.01
CL	2021-10	Call	29.0	40.1
CL	2021-10	Put	29.0	0.01
CL	2021-10	Call	29.5	39.6
CL	2021-10	Put	29.5	0.01
CL	2021-10	Call	30.0	39.1
CL	2021-10	Put	30.0	0.01
CL	2021-10	Call	30.5	38.6
CL	2021-10	Put	30.5	0.01
CL	2021-10	Call	31.0	38.1
CL	2021-10	Put	31.0	0.01
CL	2021-10	Call	31.5	37.6
CL	2021-10	Put	31.5	0.01
CL	2021-10	Call	32.0	37.1
CL	2021-10	Put	32.0	0.01
CL	2021-10	Call	32.5	36.6
CL	2021-10	Put	32.5	0.01
CL	2021-10	Call	33.0	36.1
CL	2021-10	Put	33.0	0.01
CL	2021-10	Call	33.5	35.6
CL	2021-10	Put	33.5	0.01
CL	2021-10	Call	34.0	35.1
CL	2021-10	Put	34.0	0.01
CL	2021-10	Call	34.5	34.6
CL	2021-10	Put	34.5	0.01
CL	2021-10	Call	35.0	34.1
CL	2021-10	Put	35.0	0.01
CL	2021-10	Call	35.5	33.6
CL	2021-10	Put	35.5	0.01
CL	2021-10	Call	36.0	33.1
CL	2021-10	Put	36.0	0.01
CL	2021-10	Call	36.5	32.6
CL	2021-10	Put	36.5	0.01
CL	2021-10	Call	37.0	32.1
CL	2021-10	Put	37.0	0.01
CL	2021-10	Call	37.5	31.6
CL	2021-10	Put	37.5	0.01
CL	2021-10	Call	38.0	31.1
CL	2021-10	Put	38.0	0.01
CL	2021-10	Call	38.5	30.6
CL	2021-10	Put	38.5	0.01
CL	2021-10	Call	39.0	30.1
CL	2021-10	Put	39.0	0.01
CL	2021-10	Call	39.5	29.6
CL	2021-10	Put	39.5	0.01
CL	2021-10	Call	40.0	29.29
CL	2021-10	Put	40.0	0.01
CL	2021-10	Call	40.5	28.79
CL	2021-10	Put	40.5	0.01
CL	2021-10	Call	41.0	28.29
CL	2021-10	Put	41.0	0.01
CL	2021-10	Call	41.5	27.6
CL	2021-10	Put	41.5	0.01
CL	2021-10	Call	42.0	27.29
CL	2021-10	Put	42.0	0.01
CL	2021-10	Call	42.5	26.79
CL	2021-10	Put	42.5	0.01
CL	2021-10	Call	43.0	26.29
CL	2021-10	Put	43.0	0.01
CL	2021-10	Call	43.5	25.79
CL	2021-10	Put	43.5	0.01
CL	2021-10	Call	44.0	25.29
CL	2021-10	Put	44.0	0.01
CL	2021-10	Call	44.5	24.79
CL	2021-10	Put	44.5	0.01
CL	2021-10	Call	45.0	24.29
CL	2021-10	Put	45.0	0.01
CL	2021-10	Call	45.5	23.79
CL	2021-10	Put	45.5	0.01
CL	2021-10	Call	46.0	23.29
CL	2021-10	Put	46.0	0.01
CL	2021-10	Call	46.5	22.79
CL	2021-10	Put	46.5	0.01
CL	2021-10	Call	47.0	22.29
CL	2021-10	Put	47.0	0.01
CL	2021-10	Call	47.5	21.79
CL	2021-10	Put	47.5	0.01
CL	2021-10	Call	48.0	21.29
CL	2021-10	Put	48.0	0.01
CL	2021-10	Call	48.5	20.79
CL	2021-10	Put	48.5	0.01
CL	2021-10	Call	49.0	20.29
CL	2021-10	Put	49.0	0.01
CL	2021-10	Call	49.5	19.79
CL	2021-10	Put	49.5	0.01
CL	2021-10	Call	50.0	19.29
CL	2021-10	Put	50.0	0.01
CL	2021-10	Call	50.5	18.79
CL	2021-10	Put	50.5	0.01
CL	2021-10	Call	51.0	18.29
CL	2021-10	Put	51.0	0.01
CL	2021-10	Call	51.5	17.79
CL	2021-10	Put	51.5	0.01
CL	2021-10	Call	52.0	17.29
CL	2021-10	Put	52.0	0.01
CL	2021-10	Call	52.5	16.8
CL	2021-10	Put	52.5	0.01
CL	2021-10	Call	53.0	16.3
CL	2021-10	Put	53.0	0.01
CL	2021-10	Call	53.5	15.8
CL	2021-10	Put	53.5	0.01
CL	2021-10	Call	54.0	15.3
CL	2021-10	Put	54.0	0.01
CL	2021-10	Call	54.5	14.8
CL	2021-10	Put	54.5	0.01
CL	2021-10	Call	55.0	14.3
CL	2021-10	Put	55.0	0.02
CL	2021-10	Call	55.5	13.81
CL	2021-10	Put	55.5	0.02
CL	2021-10	Call	56.0	13.31
CL	2021-10	Put	56.0	0.02
CL	2021-10	Call	56.5	12.81
CL	2021-10	Put	56.5	0.02
CL	2021-10	Call	57.0	12.31
CL	2021-10	Put	57.0	0.02
CL	2021-10	Call	57.5	11.82
CL	2021-10	Put	57.5	0.03
CL	2021-10	Call	58.0	11.32
CL	2021-10	Put	58.0	0.03
CL	2021-10	Call	58.5	10.83
CL	2021-10	Put	58.5	0.04
CL	2021-10	Call	59.0	10.33
