Futures Code	Contract Month	Contract Type	Futures Exp Date	Options Code	Options Exp Date
CL	2021-10	Fut	2021-09-21		
CL	2021-11	Fut	2021-10-20		
CL	2021-12	Fut	2021-11-19		
CL	2022-01	Fut	2021-12-20		
CL	2022-02	Fut	2022-01-20		
CL	2022-03	Fut	2022-02-22		
CL	2022-04	Fut	2022-03-22		
CL	2022-05	Fut	2022-04-20		
CL	2022-06	Fut	2022-05-20		
CL	2022-07	Fut	2022-06-21		
CL	2022-08	Fut	2022-07-20		
CL	2022-09	Fut	2022-08-22		
CL	2022-10	Fut	2022-09-20		
CL	2022-11	Fut	2022-10-20		
CL	2022-12	Fut	2022-11-21		
CL	2023-01	Fut	2022-12-20		
CL	2023-02	Fut	2023-01-20		
CL	2023-03	Fut	2023-02-21		
CL	2023-04	Fut	2023-03-21		
CL	2023-05	Fut	2023-04-20		
CL	2023-06	Fut	2023-05-22		
CL	2023-07	Fut	2023-06-20		
CL	2023-08	Fut	2023-07-20		
CL	2023-09	Fut	2023-08-22		
CL	2023-10	Fut	2023-09-20		
CL	2023-11	Fut	2023-10-20		
CL	2023-12	Fut	2023-11-20		
CL	2021-10	Opt		LO	2021-09-16
CL	2021-11	Opt		LO	2021-10-15
CL	2021-12	Opt		LO	2021-11-16
CL	2022-01	Opt		LO	2021-12-15
CL	2022-02	Opt		LO	2022-01-14
CL	2022-03	Opt		LO	2022-02-16
CL	2022-04	Opt		LO	2022-03-17
CL	2022-05	Opt		LO	2022-04-14
CL	2022-06	Opt		LO	2022-05-17
CL	2022-07	Opt		LO	2022-06-16
CL	2022-08	Opt		LO	2022-07-15
CL	2022-09	Opt		LO	2022-08-17
CL	2022-10	Opt		LO	2022-09-15
CL	2022-11	Opt		LO	2022-10-17
CL	2022-12	Opt		LO	2022-11-16
CL	2023-01	Opt		LO	2022-12-15
CL	2023-02	Opt		LO	2023-01-17
CL	2023-03	Opt		LO	2023-02-15
CL	2023-04	Opt		LO	2023-03-16
CL	2023-05	Opt		LO	2023-04-17
CL	2023-06	Opt		LO	2023-05-17
CL	2023-07	Opt		LO	2023-06-15
CL	2023-08	Opt		LO	2023-07-17
CL	2023-09	Opt		LO	2023-08-17
CL	2023-12	Opt		LO	2023-11-15
