name,location_tag,features,rating,listing_url,price_number
City studio+pool+24 hour gym+parking on request,Entire guest suite in Adelaide,"['3 guests', 'Studio', '2 beds', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",4.92 (180 reviews),https://www.airbnb.com/rooms/27443185?previous_page_section_name=1000&federated_search_id=05cf3b07-4983-4621-9e89-30d8c6353d23,73.0
Sky-touching apartment ✔️Carpark✔️Pool✔️Views✔️Luxury,Entire rental unit in Adelaide,"['4 guests', '2 bedrooms', '3 beds', '2 baths', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",rating,https://www.airbnb.com/rooms/53369431?previous_page_section_name=1000&federated_search_id=05cf3b07-4983-4621-9e89-30d8c6353d23,86.0
The Orange Door Apartment,Entire rental unit in Thebarton,"['2 guests', '1 bedroom', '1 bed', '1 bath', 'Kitchen', 'Air conditioning']",4.78 (268 reviews),https://www.airbnb.com/rooms/28164046?previous_page_section_name=1000&federated_search_id=05cf3b07-4983-4621-9e89-30d8c6353d23,44.0
Cozy Appartement near city center,Private room in Rose Park,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', 'Kitchen', 'Air conditioning', 'Wifi']",4.88 (25 reviews),https://www.airbnb.com/rooms/47722548?previous_page_section_name=1000&federated_search_id=05cf3b07-4983-4621-9e89-30d8c6353d23,34.0
Jewel of Central⚝Sauna✔Gym✔Pool✔NBN✔Cinema✔Netflix,Entire rental unit in Adelaide,"['2 guests', 'Studio', '1 bed', '1 bath', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",4.85 (163 reviews),https://www.airbnb.com/rooms/35320395?previous_page_section_name=1000&federated_search_id=05cf3b07-4983-4621-9e89-30d8c6353d23,106.0
❤Adelaide CBD❤Netflix❤WiFi❤Balcony with GREAT View,Entire rental unit in Adelaide,"['2 guests', '1 bedroom', '1 bed', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",4.83 (54 reviews),https://www.airbnb.com/rooms/33152194?previous_page_section_name=1000&federated_search_id=05cf3b07-4983-4621-9e89-30d8c6353d23,87.0
The Pigeon Loft,Entire guest suite in Mile End,"['2 guests', '1 bedroom', '1 bed', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",4.91 (54 reviews),https://www.airbnb.com/rooms/43056156?previous_page_section_name=1000&federated_search_id=05cf3b07-4983-4621-9e89-30d8c6353d23,71.0
Vivid on Realm ✩ RundleMall✔Pool&Gym✔EasyLifestyle,Entire condominium (condo) in Adelaide,"['2 guests', '1 bedroom', '1 bed', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",rating,https://www.airbnb.com/rooms/53418816?previous_page_section_name=1000&federated_search_id=05cf3b07-4983-4621-9e89-30d8c6353d23,110.0
Great value.In the city. Quirky& quiet.Covid safe.,Entire rental unit in Adelaide,"['2 guests', '1 bedroom', '1 bed', '1 bath', 'Free parking', 'Kitchen', 'Air conditioning']",4.70 (240 reviews),https://www.airbnb.com/rooms/13514203?previous_page_section_name=1000&federated_search_id=05cf3b07-4983-4621-9e89-30d8c6353d23,43.0
Market Cottage,Entire residential home in Adelaide,"['3 guests', '1 bedroom', '2 beds', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",4.90 (176 reviews),https://www.airbnb.com/rooms/17949415?previous_page_section_name=1000&federated_search_id=05cf3b07-4983-4621-9e89-30d8c6353d23,85.0
