,route-number,description,url
0,100 - Arndale Centre Interchange to Glen Osmond,"via Woodville Rd, Queen Elizabeth Hospital, Holbrooks Rd, Marion Rd and Cross Rd (operates Monday - Saturday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F100&auth=sT0MqNYn%2BxHvrX2iWGPKTw&profile=_default&rank=1&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
1,100B - Arndale Centre Interchange / Urrbrae Agricultural High School to Brooklyn Park,Operates various limited sections of the 100 route on school days only,https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F100b&auth=kdYdjwPMjtwu%2BYlWXz9EuQ&profile=_default&rank=2&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
2,100C - Forestville to Urrbrae Argriculture High School,Operates various limited sections of the 100 route on school days only,https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F100c&auth=3m2u22HA0StL4hLiCKU9DQ&profile=_default&rank=3&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
3,100N - Urrbrae Agriculture High School to Marleston,Operates various limited sections of the 100 route on school days only,https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F100n&auth=YaH%2FPk127oQUOnE3QQxMkg&profile=_default&rank=4&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
4,100P - Arndale Centre Interchange to Plympton,"via Woodville Rd, Queen Elizabeth Hospital, Holbrooks Rd and Marion Rd (terminates at Stop 12 Marion Rd, Plympton)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F100p&auth=%2Ft9%2FdvJ9zEjSntUd9xogSg&profile=_default&rank=5&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
5,101 - Arndale Centre Interchange to Flinders University,"via Woodville Rd, Queen Elizabeth Hospital, Holbrooks Rd, Marion Rd and Sturt Rd (operates Monday - Friday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F101&auth=KPk5MhZTy8WeF6B47l3v4Q&profile=_default&rank=6&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
6,106 - Magill to City,via Magill Rd and Botanic Rd,https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F106&auth=q3W46%2FYUUvKXA8i03Yv5WA&profile=_default&rank=7&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
7,110 - West Lakes Centre Interchange to City,"via Frederick Rd, Grange Rd and South Rd",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F110&auth=4Eztj2CqKcLVY92PAaGYWw&profile=_default&rank=8&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
8,112 - West Lakes Centre Interchange to City,"via Frederick Rd, Grange Rd and South Rd (operates Monday - Friday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F112&auth=lw01Bfm7qPie%2FTqEk7Rv5Q&profile=_default&rank=9&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
9,115 - West Lakes Centre Interchange to City,via Tapleys Hill Rd and Crittenden Rd,https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F115&auth=zq4zEMJ%2BPTFtgf6MvKULWQ&profile=_default&rank=10&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
