location,price,features,listing_url,name,lat,long,source,rating
"2/161a Gouger Street, Adelaide SA 5000",580,"['Bed: 3', 'Bath: 2', 'Car: 0']",https://www.homely.com.au/homes/2-161a-gouger-street-adelaide-sa-5000/8450023,,-34.9307398,138.593115,homely,
"806/271-281 Gouger Street, Adelaide SA 5000",610,"['Bed: 2', 'Bath: 2', 'Car: 1']",https://www.homely.com.au/homes/806-271-281-gouger-street-adelaide-sa-5000/8449263,,-34.9309679,138.589054,homely,
"409/10 Balfours Way, Adelaide SA 5000",410,"['Bed: 2', 'Bath: 1', 'Car: 0']",https://www.homely.com.au/homes/409-10-balfours-way-adelaide-sa-5000/8159434,,-34.9270365,138.5930517,homely,
"19/9 Ebenezer Place, Adelaide SA 5000",450,"['Bed: 2', 'Bath: 1', 'Car: 0']",https://www.homely.com.au/homes/19-9-ebenezer-place-adelaide-sa-5000/8102927,,-34.9232132,138.6088602,homely,
"Studio/116 Waymouth Street, Adelaide SA 5000",290,"['Bed: 1', 'Bath: 1', 'Car: 0']",https://www.homely.com.au/homes/studio-116-waymouth-street-adelaide-sa-5000/8102922,,-34.9258762,138.5954399,homely,
"2 Bedroom/116 Waymouth Street, Adelaide SA 5000",475,"['Bed: 2', 'Bath: 2', 'Car: 0']",https://www.homely.com.au/homes/2-bedroom-116-waymouth-street-adelaide-sa-500/8102921,,-34.9258762,138.5954399,homely,
"1 Bedroom/116 Waymouth Street, Adelaide SA 5000",385,"['Bed: 1', 'Bath: 1', 'Car: 0']",https://www.homely.com.au/homes/1-bedroom-116-waymouth-street-adelaide-sa-500/8102919,,-34.9258762,138.5954399,homely,
"28A Sturt Street, Adelaide SA 5000",490,"['Bed: 3', 'Bath: 1', 'Car: 1']",https://www.homely.com.au/homes/28a-sturt-street-adelaide-sa-5000/8468291,,-34.932762,138.5990486,homely,
"1111/293-297 Pirie Street, Adelaide SA 5000",510,"['Bed: 2', 'Bath: 1', 'Car: 1']",https://www.homely.com.au/homes/1111-293-297-pirie-street-adelaide-sa-5000/8465917,,-34.9254255,138.610603,homely,
"6/20 Norman Street, Adelaide SA 5000",430,"['Bed: 2', 'Bath: 1', 'Car: 0']",https://www.homely.com.au/homes/6-20-norman-street-adelaide-sa-5000/8465433,,-34.9322802,138.5976888,homely,
"37/274 South Terrace, Adelaide SA 5000",420,"['Bed: 2', 'Bath: 1', 'Car: 1']",https://www.homely.com.au/homes/37-274-south-terrace-adelaide-sa-5000/8465326,,-34.9348064,138.6089713,homely,
"168 Wakefield Street, Adelaide SA 5000",760,"['Bed: 3', 'Bath: 2', 'Car: 2']",https://www.homely.com.au/homes/168-wakefield-street-adelaide-sa-5000/8464055,,-34.9280388,138.6071012,homely,
"29D/17 Eden Street, Adelaide SA 5000",495,"['Bed: 2', 'Bath: 1', 'Car: 1']",https://www.homely.com.au/homes/29d-17-eden-street-adelaide-sa-5000/8463959,,-34.930914,138.6072138,homely,
"C17/18 Bewes Street, Adelaide SA 5000",440,"['Bed: 2', 'Bath: 1', 'Car: 1']",https://www.homely.com.au/homes/c17-18-bewes-street-adelaide-sa-5000/8459441,,-34.9303946,138.6070828,homely,
