name,cuisines,opening_time,call,mark,review_number,location_txt,location_url,location_latitude,location_longitude
" 
Parwana Afghan Restaurant","Middle Eastern,Afghan",Opens at 6pm,+61884439001,4.7,610,"124b Henley Beach Road, Torrensville, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9237361111,138.5674583333",-34.9237361111,138.5674583333
" 
Ruby Red Flamingo",Italian,Opens at 12noon,+61882675769,4.6,573,"142 Tynte Street, North Adelaide, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9061083333,138.5948194444",-34.9061083333,138.5948194444
Eggless,"Desserts,Coffee and Tea,Cafe Food",Opens at 8pm,+61882720777,4.4,632,"162 Goodwood Road, Goodwood, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9531027778,138.5896138889",-34.9531027778,138.5896138889
" 
UR Caffe","Coffee and Tea,Cafe Food",Opens at 7:30am,+61432276897,4.5,395,"117 Melbourne Street, North Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9071055556,138.6073750000",-34.9071055556,138.6073750000
A Hereford Beefstouw,Steak,Opens at 11:30am,+61882326868,4.1,413,"143 Hutt Street, Hutt Street, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9303138889,138.6120305556",-34.9303138889,138.6120305556
" 
Yakitori Takumi","BBQ,Japanese,Tapas",Opens at 6pm,+61882392111,4.4,337,"Shop 60, 55 Melbourne Street, North Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9058944444,138.6096027778",-34.9058944444,138.6096027778
" 
Georges on Waymouth",European,Opens at 7:30am,+61882116960,4.6,354,"20 Waymouth Street, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9257861111,138.5992138889",-34.9257861111,138.5992138889
A Mother's Milk,"Vegetarian,Coffee and Tea,Cafe Food",Opens at 7:30am,+61882714329,4.2,450,"105 Unley Road, Parkside","https://www.google.com/maps/dir/?api=1&destination=-34.9478200000,138.6077400000",-34.9478200000,138.6077400000
" 
Delicatessen Kitchen and Bar","European,Bar Food,Coffee and Tea,Cafe Food",Opens at 7:30am,+61882118871,4.3,140,"12 Waymouth Street, Adelaide, City Centre, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9255870000,138.5991010000",-34.9255870000,138.5991010000
" 
Devour Cafe Patisserie","Desserts,Coffee and Tea,Cafe Food",Opens at 7am,+61411536343,4.0,454,"52 Davenport Terrace, Hilton, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9342547412,138.5637659580",-34.9342547412,138.5637659580
" 
The Greek on Halifax","Greek,Coffee and Tea,Cafe Food",Opens at 10:30am,+61882233336,4.3,402,"75-79 Halifax Street, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9329300000,138.6032560000",-34.9329300000,138.6032560000
" 
Gaucho's","Argentine,Steak",Opens at 11:30am,+61882312299,4.2,504,"91 Gouger Street, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9303638889,138.5959777778",-34.9303638889,138.5959777778
Ding Hao Restaurant,Chinese,Opens at 11am,+61882117036,4.2,432,"26-28 Gouger Street, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9303694444,138.5982666667",-34.9303694444,138.5982666667
" 
Zest Cafe Gallery","Coffee and Tea,Cafe Food",Opens at 9am,+61882953599,4.4,410,"2A Sussex Street, Glenelg, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9800351665,138.5138128325",-34.9800351665,138.5138128325
" 
Froth & Fodder","Coffee and Tea,Cafe Food",Opens at 7:30am,+61882973290,4.2,242,"41 Mortimer Street, Kurralta Park","https://www.google.com/maps/dir/?api=1&destination=-34.9564700000,138.5634130000",-34.9564700000,138.5634130000
Jasmin Indian,Indian,Opens at 12noon,+61882237837,4.5,469,"31 Hindmarsh Square, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9237361111,138.6050111111",-34.9237361111,138.6050111111
Kaffana,"Grill,Modern European,Tapas",Opens at 12noon,+61431591018,4.1,148,"23 Peel Street, Adelaide, City Centre, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9236899914,138.5980630293",-34.9236899914,138.5980630293
Little NNQ,Vietnamese,Opens at 11:30am,+61882118558,4.1,305,"125 Gouger Street, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9305083333,138.5947111111",-34.9305083333,138.5947111111
" 
Rosey's","Coffee and Tea,Cafe Food",Opens at 8am,+61872250690,4.3,286,"139 Unley Road, Unley","https://www.google.com/maps/dir/?api=1&destination=-34.9489080000,138.6074381000",-34.9489080000,138.6074381000
Kefi Greek Cuisine,Greek,Opens at 6pm,+61883509199,4.7,258,"3 61 Tapleys Hill Road, Glenelg North, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9703214255,138.5169587284",-34.9703214255,138.5169587284
EST Pizzeria,"Italian,Pizza",Opens at 5pm,+61883592272,4.5,343,"30 East Terrace, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9231533887,138.6105175316",-34.9231533887,138.6105175316
" 
Red Ochre Grill",Modern Australian,Opens at 6pm,+61882118555,4.5,276,"War Memorial Drive, North Adelaide, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9173610000,138.5874650000",-34.9173610000,138.5874650000
" 
Dumpling King",Chinese,Opens at 10:30am,+61882121886,4.0,435,"95 Grote Street, Adelaide SA","https://www.google.com/maps/dir/?api=1&destination=-34.9295410000,138.5957470000",-34.9295410000,138.5957470000
" 
Local Crowd","Coffee and Tea,Cafe Food",Opens at 7:30am,+61881770277,4.4,277,"14 The Strand, Colonel Light Gardens, Adelaide Colonel Light Gardens","https://www.google.com/maps/dir/?api=1&destination=-34.9859900000,138.5950720000",-34.9859900000,138.5950720000
" 
Pizza e Mozzarella Bar","Italian,Pizza",Opens at 12noon,+61881641003,4.4,236,"33b Pirie Street, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9255722222,138.6010138889",-34.9255722222,138.6010138889
Sosta Argentinian Kitchen,"Latin American,Steak,Argentine",Opens at 12noon,+61882326799,4.1,356,"291 Rundle Street, City Centre, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9225305556,138.6104444444",-34.9225305556,138.6104444444
" 
50SIXONE","Desserts,Cafe Food,Coffee and Tea",Opens at 7am,+61882712003,2.9,152,"144A King William Road, Hyde Park, Adelaide, SA","https://www.google.com/maps/dir/?api=1&destination=-34.9539555000,138.5981723000",-34.9539555000,138.5981723000
" 
Two-Bit Villains","American,Vegetarian",Opens at 11:30am,+61882321302,3.9,182,"Shop 150, Balcony Level, Adelaide Arcade, Rundle Mall,  Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9228661179,138.6038586125",-34.9228661179,138.6038586125
" 
Ajisen Ramen","Japanese,Vegetarian",Opens at 12noon,+61884102088,4.0,267,"23 Leigh Street, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9237861111,138.5975805556",-34.9237861111,138.5975805556
" 
Pickle in the Middle","Coffee and Tea,Cafe Food",Opens at 8am,+61881721083,4.0,132,"134 Unley Road, Unley","https://www.google.com/maps/dir/?api=1&destination=-34.9480537000,138.6072772000",-34.9480537000,138.6072772000
